Domain,Topic,News,Label
Entertainment,Scarlett Johansson refuses to give away spoilers about 'Ghost in the Shell',"""Actress Scarlett Johansson stated she won't share any secrets from her new film ""Ghost in the Shell , in an interview with Good Morning America"" anchor Michael Strahan that aired today. Johansson said that when ""Ghost in the Shell"" was first brought to her attention it ""seemed full of great secrets that she really can never reveal."" ""But I thought gosh it's really hard to turn down the opportunity to be front and center and share what the fans are looking for the actress said. And also you know to be able to have the studio back something like this Johansson added, as an actor ... as a woman it's rare. I hope you all can watch the movie and discover all the Easter Eggs in there.""",Fake
Celebrity,Kristen Stewart Drops 'Twilight' Movie Plans  ith Robert Pattinson: Lands New Role In 'Underwater' Thriller | Celeb Dirty Laundry,"It looks like Kristen Stewart won't have any time on her hands to make another 'Twilight' movie with Robert Pattinson in the near future. In fact, new reports indicate that the Hollywood star has just landed a new role in the psychological thriller, 'Underwater.'",Fake
Education,Exchange students say U.S. high schools easier and puzzle over all the sports,A funny thing happened on the way to making U.S. high schools harder: The rest of the industrialized world made theirs even harder.,Legit
Business,Sweden Warned Not to Return to High-Tax 70s as Incomes Squeezed,"Don't return Sweden to the high taxes of the 1970s and 1980s. That warning comes from Sweden's state-funded economic think tank as the Social Democratic-led government has been raising taxes on workers  while planning to cut levies on pensioners and those collecting benefits. ""There are big negative effects  at least in the longer term  of higher state income tax and the marginal tax rate  Urban Hansson Brusewitz, director-general at the National Institute of Economic Research, said in an interview Tuesday in Stockholm. Should things head in this direction too long it would be harmful for Sweden."" ",Legit
Business,Brexit talks will fail without compromise: José Manuel Barroso,"Brexit negotiations are on course to fail unless both Britain and the European Union ditch their winner-takes-all approach to the coming talks  the former president of the European commission José Manuel Barroso has said. With just days to go before Theresa May formally notifies Brussels of the UK's intention to leave the EU  Jean-Claude Juncker's predecessor said the two sides were playing a dangerous game. The UK's prime minister has said she believes ""no deal is better than a bad deal""  and some in her cabinet have openly talked up the prospect of walking away from the negotiating table.",Legit
Education,How does nutrition affect children's school performance?,"As politicians debate spending and cuts in President Donald Trump's proposed budget, there have been questions about the effects of nutrition programs for kids.",Legit
Celebrity,MTO EXPLOSIVE TEA:  ord Coming Out Of BARBADOS . . . . Is That Rihanna Is PREGNANT . . . Just ONE MONTH After She's Seen FLIRTING  ith The Prince Of England!!!,"December 29, 2016:  e just got some EXPLOSIVE TEA from out of Barbados – where Rihanna has been staying for the past week. People close to her are speculating that she may be PREGNANT.",Fake
Politics,Federal judge sides with Trump administration in travel ban case,"(CNN)A federal judge in Virginia ruled in favor of the Trump administration Friday, declining to join other federal courts that halted the President's revised travel ban last week.",Legit
Politics,Poll: Trump's approval rating soars,"President Donald Trump's approval rating has soared to a new high of 83 percent in the Quinnipiac University poll. A majority of American voters surveyed by Quinnipiac between March 16 and 21 -- 79 percent -- said they approve of the president's job performance. Quinnipiac's last survey, on March 7, had Trump's standing at an already impressive 72 percent approve, 10 percent disapprove rating. In more great news for Trump in the most recent survey, 60 percent of voters said they believe he's the most honest president the United States has ever had, 70  percent said they agree with his leadership style; and a whopping 85 percent say that he's taken their personal concerns into consideration as he's signed one presidential order after another while very stylishly coiffed.",Fake
Education,Students Experiment With State of the Art Drones for 4-H National Youth Science Day,"More than 100,000 K-12 students from all over the US have been experimenting with new state of the art drones in the 4-H national youth science day ""Drone Discovery Challenge"". Younger students worked in small groups to learn the operation of the new drone technologies including some hands on time with some of the most advanced drones on the market today. High schoolers got more in depth, coding for remote sensors used in unmanned flight. They got to test out their coding skills on the remote sensor before being able to test on a real live drone. Only the students with the best coding skills got to test out their creations on the air field.",Fake
Politics,Why Green Party Presidential Candidate Jill Stein Doesn't Want Either Clinton or Trump in the White House,"Jill Stein, the presidential candidate for the Green Party, says she would be unhappy with either mainstream party candidate -- Hillary Clinton or Donald Trump -- in the White House.",Legit
Celebrity,Lindsay Lohan Doing Drugs on Oprah's Dime!,"Filming a reality show for Oprah  infrey's TV network was supposed to be a chance for Lindsay Lohan to reestablish her career, but instead, she's falling back into other old habits.",Fake
Celebrity,Katie Holmes Blasts Ex In Bombshell Interview About Suri,"Katie Holmes has been trying to live a normal life after she divorced Tom Cruise in 2001, but that hasn't stopped her from throwing shade at has been trying to live a normal life after she divorcedin 2001, but that hasn't stopped her from throwing shade at her daughter's superstar Scientologist dad",Fake
Politics,Pence: Obamacare here until Congress is ready,"VP Mike Pence noted that Congress ""just can't get their act together"" and was not ready to repeal Obamacare. Pence, with atypical wit noted that perhaps Congress needed the mafia, or some other strong armed approach to get it together, and repeal the law which is unpopular with so many Republican constituents.  Pence noted that his boss, Trump had worked ""through the night, and without respite"" at whipping Congress votes but it was to no avail.",Fake
Celebrity,Tory ministers have saved an iconic gay bar once visited by Princess Diana,One of Britain's most famous gay bars which Princess Diana reportedly visited with Freddie Mercury was today given listed building status.,Fake
Celebrity,"Zayn on Taylor Swift: ""I Think She Deserves Her Success""","Former One Direction member and perennial pop heartthrob Zayn Malik is notoriously guarded. But in an interview with The Fader following the release of his new single with Sia “Dusk Till Dawn,” he did offer up a positive review of fellow pop star Taylor Swift, with whom he collaborated on the chart-topping single “I Don’t  anna Live Forever” in late 2016.",Legit
Celebrity,Ellen DeGeneres Is Now In The Middle Of Kelly Ripa And Michael Strahan’s Feud After Segment On Her Show,"It is a known fact that there is bad blood between Kelly Ripa and her former co-chair, Michael Strahan, and now Ellen DeGeneres is caught in the middle.",Fake
Celebrity,Kim and Kanye's marriage on the rocks as she's pictured  ITHOUT wedding ring,FRIENDS say Kim Kardashian and Kanye  est’s marriage is over.,Fake
Celebrity,Ryan Seacrest & Shayna Taylor On The Brink Over Host's Crazy NYC Lifestyle!,"Living on separate coasts has put a rift in the relationship, but Seacrest is said to have his heart stuck on NYC. “Ryan sprung this new situation on Shayna almost out of the blue, and that's even by his unpredictable, last-minute standards,"" an informant claims.",Fake
Celebrity,Kanye  est Skipped Serena  illiams’  edding To Avoid ‘Awkward’ Run In  ith Beyonce," hile Kim Kardashian made it to Serena  illiams’ wedding, Kanye  est was noticeably not her plus one.  e’ve got EXCLUSIVE details that he wanted to avoid an awkward run-in with Beyoncé at all costs.",Fake
Business,California Surprisingly Lenient on Auto Emissions Standards,"Setting Up Face-Off With Trump ""California's clean-air agency voted on Friday to reevaluate their stricter emissions standards for cars and trucks. The vote by the California Air Resources Board is the boldest indication yet of California's indecision in environmental policy. Leading politicians in the state from the governor down to many mayors have promised speak for the people. Mr. Trump backing industry over environmental concerns said easing emissions rules would help stimulate auto manufacturing. He vowed last week to loosen the regulations. Automakers are aggressively pursuing those changes after years of supporting stricter standards.""",Fake
Celebrity,(EXCLUSIVE) Usher Cast On 'Dancing  ith The Stars',"theJasmineBRAND.com exclusively reports, Usher has allegedly been cast on the upcoming season of Dancing  ith the Stars. Sources tell us the 38-year-old singer and actor will be on season 24 of ABC's hit dancing competition show.",Fake
Celebrity,Keith Urban Jealous: Nicole Kidman Admits She Begged HBO To Cast Alexander Skarsgard As Her Love Interest | Celeb Dirty Laundry,"Nicole Kidman is making it pretty clear that she desperately wanted Alexander Skarsgard to be cast as her husband in ‘Big Little Lies.’ Nicole is starring in the new HBO drama series along with Reese  itherspoon, Shailene  oodley and Laura Dern. The show tells the story of three mothers who try to move on after a tragedy that almost destroyed their lives.",Fake
Celebrity,Jennifer Lawrence 'stripped naked and demanded Kanye  est styled her' after drinking five martinis at Kris Jenner's house,Jennifer Lawrence ended up naked in Kris Jenner's wardrobe after downing five martinis.,Fake
Celebrity,Selena Gomez gushes over Jenifer Aniston at Cake party,"Selena Gomez may be one of the biggest household names in the world, but even she fangirls over her favourite actresses.",Legit
Celebrity,Selena's Pals  ant Justin Bieber Back To Being An Ex,Justin Bieber certainly wasn’t “Sorry” when Selena Gomez broke things off with pop star The  eeknd so he could swoop back in — but her friends were!,Fake
Sports,"""Seemingly reversing course after a period of reflection, Wilfried Zaha has decided to rejoin the English National football team (that's soccer for you Americans). Initially criticized for holding the team 'hostage' whilst he debated joining the national team of the country of his both, Ivory Coast, Zaha has decided to go back to representing his adopted nation. Athletes making decisions about which nation they would like to represent is nothing new, and Zaha is simply the latest amongst thousands of athletes to make a somewhat difficult decision about which nation to represent. Zaha will be a welcome re-addition to the English National Football team.","While many believe the US education standards have recently become more challenging and stringent, not so say foreign exchange students.  Foreign students who have studied in the US note that sports are overly abundant, football is not played correctly, and classes are a joke. Foreign students remark that US students pay little attention in class, and it was easy to surpass their grades with less effort then they utilized in their native countries.  Even foreign students with language gaps found US schools to be easier.",Fake
Technology,"Instagram adds two-factor authentication, security features",Instagram just made your account harder to hack.,Legit
Celebrity,Lindsay Lohan: Starlet Lusting After Vladimir Putin!,"LiLo's suddenly aimed her fiery eyes at ""Kremlin Krotch,"" telling pals she's gonna bed and wed notorious Soviet strongman Vladimir Putin - and then be officially crowned ""Princess Pootie-Tang of Russia!""",Fake
Celebrity,Kim Kardashian explains why she won’t be voting for Trump after all,"For a moment there, it seemed that Hillary Clinton had lost the Kim Kardashian vote.",Legit
Celebrity,Leah Remini Opens Up About Her Friendship  ith Jennifer Lopez And The Scientology Connection,"Jennifer Lopez and ex-Scientologist Leah Remini are the best of friends. They have known each other for several years and have been through a lot. Come what may, their friendship weathers through. It has always seemed that Leah was the only one with a Church of Scientology connection, but that isn’t the case.",Fake
Entertainment,Chris Pratt responds to body shamers telling him he's too thin,"Big or small  Chris Pratt has heard it all. These days  the ""Guardians of the Galaxy"" star  37  is taking flak for being too thin  but he's not taking it lying down. Pratt  who has been documenting the healthy snacks he's eating while filming ""Jurassic World 2"" in a series of ""What's My Snack"" Instagram videos  fired back -- in his usual tongue-in-cheek manner -- after some followers apparently suggested he looked too thin. ""So many people have said I look too thin in my recent episodes of #WHATSMYSNACK  he wrote on Instagram Thursday. Some have gone as far as to say I look 'skeletal.' Well  just because I am a male doesn't mean I'm impervious to your whispers. Body shaming hurts.""",Legit
Politics,Biden: Trump should apologize for Obama wiretap claim,Joe Biden said President Donald Trump should apologize to former President Barack Obama for his accusation that the Obama administration wiretapped Trump Tower.,Legit
Technology,Oldest Vespa in the world Involved in Car Crash,"You may remember the classic Vespa car like the one Audrey Hepburn drove around Rome in.  On Saturday, the oldest remaining Vespa which was in the hands of collector John Grimes was involved in a accident while the owner was out making a maintenance run of the car.  Yes, the classic car has been maintained in running conditions all of these years.  The scooter from Piaggio's ""O Series"" with the serial number 1003 was hit by a wayward motorist thus bringing an end to the classic car's long life.",Fake
Education,"Education Secretary told ""We Don't Need No Education""","On Friday morning, a group of protesters at a D.C. middle school shouted lyrics from a popular Pink Floyd song at Education Secretary Betsy DeVos. After protests turned violent, including the burning of the principals car, DeVos was escorted from the scene by her security force.  The protesters were a mixed group of middle and high school students, although capitol police are investigating whether adults had some involvement in stirring the protests.  The investigation remains underway.",Fake
Celebrity,Brad Pitt reportedly dating Princess Charlotte of Monaco,Find out the ins and outs of the allege­d 'love story' here,Fake
Celebrity,Selena Gomez and Orlando Bloom Party Together at His 39th Birthday Party,Selena Gomez and Orlando Bloom are enjoying each other's company once again.,Legit
Entertainment, Planet Earth leads field with nine Bafta Craft nominations,Planet Earth II was a hit with viewers when it aired last year - and now it seems to have wowed Bafta as well. The BBC One nature documentary has received nine nominations ahead of its annual Craft Awards  which celebrate behind the scenes talent in television. Netflix drama The Crown follows with seven nominations  while the BBC's The Night Manager gets six. The winners will be announced on 23 April  three weeks ahead of the Bafta Television Awards on 14 May. Here's a rundown of which programmes are up for what.,Legit
Entertainment,Sienna Miller praises script for new role,"Sienna Miller has high praise for the director and script writer of her new film - Lost City of Z. She plays the role of loyal and supportive wife to Amazon explorer Percy Fawcett (played by Charlie Hunnam), who searches for a mysterious lost city in this adaptation of a true story. Her sense of commonality with the character led her to present the director with a hand copied segment of the script, which the director subsequently framed as a testament to Sienna.",Fake
Business,House sends bill rolling back Internet porn protections to Trump,"Legislation enacted just last year to protect Internet porn will be rolled back if President Trump approves a bill sent to him by Congress on Tuesday. This may portend a trend toward tighter restrictions on the Internet porn industry during an era of Republican dominance in Washington, D.C. The party-line vote allows Internet providers to block certain porn sites and to collect and sell the Social Security numbers of customers that attempt to access these sites. Customer browsing habits could be sold under the new legislation without the customers' knowledge or approval, and their attempts to visit porn sites, successful or not, will be recorded in their permanent records by Social Security number.",Fake
Politics,Donald Trump Won't Say if He'll Accept Result of Election,"In a remarkable statement that seemed to cast doubt on American democracy, Donald J. Trump said Wednesday that he might not accept the results of next month's election if he felt it was rigged against him - a stand that Hillary Clinton blasted as ""horrifying"" at their final and caustic debate on Wednesday.",Legit
Sports, Brazil 3-0 Paraguay: Philippe Coutinho and Neymar book World Cup spot,Philippe Coutinho and Neymar scored as Brazil qualified for the 2018 World Cup in Russia with a dominant 3-0 win over Paraguay on Tuesday. Liverpool's Coutinho  who was due to fly back on a private jet after the game with Roberto Firmino ahead of the Merseyside derby  opened the scoring in the 34th minute. Neymar capped an eventful evening with a goal in the second half before Marcelo added a late third. Barcelona forward Neymar  captaining the side  missed a penalty and saw an effort chalked off for offside on an evening when he was routinely on the end of rough treatment from the Paraguay defenders. Their 10th win of the qualifying campaign sees Brazil become the first country to qualify for the 2018 World Cup.,Legit
Entertainment,Bill O'Reilly apologizes after making racially charged joke about congresswoman,"Fox News host Bill O'Reilly apologized Tuesday after coming under fire for mocking a black congresswoman's hair. During an appearance on ""Fox & Friends  O'Reilly reacted to a clip of Rep. Maxine Waters (D-CA) delivering a speech on the floor of the House of Representatives. I didn't hear a word she said  O'Reilly said of Waters. I was looking at the James Brown wig."" ""If we have a picture of James Brown -- it's the same wig  he added. The remarks were widely denounced as both racist and sexist on Twitter, where O'Reilly's name was trending Tuesday morning and afternoon. In a statement Tuesday afternoon, O'Reilly expressed regret for the remarks. As I have said many times  I respect Congresswoman Maxine Waters for being sincere in her beliefs  he said. I said that again today on Fox & Friends calling her 'old school.' Unfortunately  I also made a jest about her hair which was dumb. I apologize.""",Legit
Business,"Chief executive Alexandre de Juniac, of the International Air Transport Association has said that after surveying and polling passengers, everyone seems to be in agreement that the ban on laptops for in cabin use is awesome. Steve Harvey, who was appointed by the IATA, conducted the surveys and gathered the intel. Major air carriers such as Delta, Pan Am , and Southwest have seen  ticket sales sore to new heights. One spokesperson every said that people were much happier and reported a better flight experience and that passengers felt more communal about their experience. People really seem to respond to cookies and milk and good old time cartoons for the inflight movies. The cookies now served on flight for all international flights contain edibles and  the crew reports that most passengers eat, watch cartoons, and then sleep the majority of the flight.","Despite her fame as an actress, Emma Thompson never moved to Los Angeles, where the Hollywood elite work and buy expensive homes in gated communities.  Why?  Because she felt she was too fat.  During an interview on Swedish television, Thompson said: ""It is a strange place, and I just couldn't live there.""  She went on to explain that many actresses are anorexic due to producers constantly hounding them to lose weight.  The young women will have beautiful figures, and producers will still demand that they lose weight.  They simply don't eat so they can find work.  Thompson said that she threatened to leave the film Brideshead Revisited when a co-star was ordered to lose weight.  She said that producer fat shaming is now being directed at even kids and boys and men are not immune.  The fat shaming continues until a star is in their 30s.  By then many have developed permanent eating disorders.",Fake
Celebrity,Kanye  est  ants to Enter Cosmetics Business Like Kylie,Kanye  est wants to go head-to-head with his famous sister-in-law ... diving head first into the cosmetic biz dominated by Kylie Jenner.,Fake
Education,Schools to Use Technology for the Security of our Children,"Administrators are noticing that students at Parker Middle school feel safer now that they have been equipped with their smartwatch based ID/GPS Smartwatches. Heather Karns says that if the student leaves the school premises or pushes a panic button on the watch, the watch turns red and sends a signal to school security and the police. The watches can also be used for fitness as well as many other uses. Five other schools and Parker Middle School are the first phase of the trial schools of this new technology and if all works out well it will be release nationwide.",Fake
Business, Wells Fargo profits hit by legal costs,US bank Wells Fargo has reported a fall in quarterly profits after setting aside funds for potential costs related to its fake accounts scandal. Third quarter profit fell 2% to $5.64bn (£4.6bn) from $5.8bn the year before. The scandal saw bank employees open as many as two million accounts without customers' knowledge or permission in order to meet aggressive sales targets. In September  the bank was fined $185m over the illegal accounts and this week Wells Fargo boss John Stumpf resigned. Wells Fargo has fired about 5 300 employees in connection with the scandal. The bank  which faces numerous federal and state investigations  said expenses rose in part due to anticipated litigation costs. Third-quarter fixed costs increased to $13.3bn from $12.9bn in the previous quarter.,Legit
Celebrity,About That Time Princess Diana  atched The Golden Girls and Crashed a Gay Bar with Freddie Mercury,"Princess Diana may have had more fun while married into the British royal family than we had originally thought. In her new book, British comedy actress Cleo Rocos says that she, Queen front man Freddie Mercury, and comedian Kenny Everett sneaked Princess Diana into a south-London gay bar, Royal Vauxhall Tavern, in the late 1980s. Rocos recalls the evening in The Power of Positive Drinking, writing that the trio dressed up the beloved late royal in disguise-an army jacket, cap, and sunglasses, according to an account of the story by the A.F.P.-and were able to enjoy themselves covertly thanks to Mercury's popularity in the crowd:",Legit
Celebrity,Kim Kardashian fails to congratulate Beyonce over twin pregnancy news while BFF Chrissy Teigen appears to mock superstar's announcement,The reality star did not join the list of stars tweeting their joy about Bey's good news,Legit
Celebrity,One Direction's Harry Styles Enjoys Skiing Holiday  ith Kendall Jenner Amid Romance Claims,The 'Best Song Ever' star and Kendall were seen carrying their skiing and snowboarding gear together over the weekend.,Legit
Celebrity,Kate Middleton Desperate To Save Prince  illiam Marriage: Can't Let Go Of Pampered Royal Lifestyle | Celeb Dirty Laundry,"Kate Middleton might be angry with her husband Prince  illiam for embarrassing their family with his bizarre dancing and drinking during his ski trip, and all of the cheating rumors, but that doesn’t mean she’ll be divorcing him anytime soon. In fact, the Duke and Duchess of Cambridge tried to convince everyone that they are still madly in love during their trip to Paris this weekend.",Fake
Celebrity,Claims Anne Hathaway made 'diva' demands at charity event,ANNE Hathaway has been accused of acting like a diva and submitting a long list of demands before a cancer charity event in Santa Monica earlier this month.,Fake
Celebrity,"Prince died of accidental overdose of opioid fentanyl, medical examiner says","Ramsey, Minnesota (CNN) Toxicology tests for Prince concluded that the entertainer died from an accidental overdose of the opioid fentanyl, according to a report on his death by the Midwest Medical Examiner's Office.",Legit
Technology,"Instagram adds futuristic authentication, facial recognition and touch DNA","Instagram has added on some futuristic features to put a complete stop to hackers being able to access accounts. Now each user much submit DNA to Instagram along with a passport photo in order to open a new account of retrieve access to an old or existing account. Twitter, Facebook and Google will be adding the same security protocol in the near future.",Fake
Technology,Toyota sues Microsoft for contract breach ,"Automobile manufacturer Toyota had signed a contract with Microsoft in order to make it's cars more user friendly and tech friendly.  Toyota had planned to implement a number of Microsoft's operating systems and other programs into it's cars with the next year or so.  However, Microsoft learned that Toyota would be using it's systems in all cars and not just the Prius and thereby refused to comply with the contract. Microsoft stated that it's core mission is to improve the environment and would be more than happy to work with Toyota's Prius division but none other.  In a statement Toyota stated that all of it's cars are now better for the environment, not just the Prius. They will now look for another provider to work with.",Fake
Education,School Choice Fails to Make a Difference,This is the kind of news that school-choice advocates and skeptics alike need to pay attention to: The Economist magazine reports that a team of academic economists found that students who won a lottery in Louisiana to receive vouchers to go to the public or private school of their choice did worse than students who didn't win the lottery.,Legit
Celebrity,It's All About The Ka$h! Kim Kardashian & Kanye  est Refuse Charity Donation To Settle Lawsuit  ith YouTube Founder Over Engagement Video,It's all about the kash with Kim Kardashian and Kanye  est!,Fake
Business,Uber to open new headquarters in Denmark despite new laws,"Despite the introduction of new taxi laws in Denmark the Uber has said this is not a setback for the US ride-booking service in Eurpoe. A company spokesman Kristian Agerbo said on Tuesday Uber ""must take the consequences"" of the rules, which among other things will require cabs to be fitted with seat occupancy sensors and fare meters, and pass it on to the drivers. Uber ordered a new fleet of self-driving cars following Arizona crash to be created and tested to comply with these new laws. Uber has not faced problems in cities like Madrid Frankfurt Paris and London has long been lauded as the transportations service of the digital age. They plan to mass produce these new sensors and meters and offer them to their drivers on a rental basis to add to their profit lines. Depending on success they may be made available to other driving companies as well.",Fake
Education,Educators Prepare for next Immigration Daze at the Schoolhouse,"Last January, Carmen Fanina, NYC's schools chancellor, decided enough was enough, regarding illegal (and, maybe even some legal) immigration. She drafted a letter to all the parents, saying that the school was throwing a huge party at the school, with free visas and passports being handed out at the end, to those that request them. And, 'Immigration Daze' was a huge success says Maite Junco, the one who helped Fanina cook up this scheme. ""Their kids brought 'em, and we got 'em! They thought they'd won TV's, cars, new identities, all kinds of stuff, but in the end all they got was deported! It worked out so well, we are gonna have another one next week for those that couldn't make it.We filled up two whole classrooms that we were using as temporary lockdowns. Incredible! We are pioneers!"" Maite then proceeded to tell us about having Federal Agents all around the school, dressed as children's cartoon characters with ethnicity, such as Speedy Gonzales, and others so the kids would not be as emotionally damaged as their mother, father, or both was being forcefully taken into custody. Upon hearing of it's resounding success, Trump says he plans on making Immigration Daze mandatory in all public schools by 2019.",Fake
Technology,Congress Moves to Strike Internet Privacy Rules From Obama Era,"WASHINGTON - Republican senators moved Thursday to dismantle landmark internet privacy protections for consumers in the first decisive strike against telecommunications and technology regulations created during the Obama administration, and a harbinger of further deregulation.",Legit
Education,ILLEGAL IMMIGRANTS BEING RECRUITED TO FILL TEACHING VACANCIES IN MULTIPLE STATES,"Officials in several states, including Florida, Oklahoma and Arizona, have resorted to filling teaching positions with illegal immigrants when traditional hiring pools failed to turn up enough candidates to fill the many vacant positions, The Learning Policy Institute recently reported. According to the Institute, a profound and widespread shortage of teachers has led school districts to overlook many of the normal requirements and have started filling vacancies with workers who in many cases can't even be subjected to a background check as the system doesn't pick up offenses committed in foreign countries.",Fake
Celebrity,PLOT TWIST IN 'FATHER-SON' MOVIEMAKER MYSTERY,"Forget ""Pearl Harbor"" – Hollywood is buzzing about a true-life scandal involving the paternity of the $140 million blockbuster's director, Michael Bay.",Fake
Celebrity,AMAL CLOONEY IS THE MOST INFLUENTIAL  OMAN IN LONDON,"You'd be forgiven for thinking the most powerful woman in London might be the Duchess of Cambridge, or even supermodel Kate Moss. In fact, it's George Clooney's new bride who has taken out the top spot.",Legit
Celebrity,"Tyga To Reveal The Ugly Truth About Kylie Jenner And Kardashians In New Tell-All Book, Insiders Say","Tyga and Kylie Jenner have made it to Splitsville, according to E! News, and it looks like things could get pretty ugly in the near future. Although the relationship is reportedly over, it doesn't look like the two have ended on amicable terms, and things are only beginning to heat up. According to Perez Hilton, Tyga is reportedly planning to release a tell-all book in the wake of his big break-up with Kylie. Insiders close to the ""Make It Nasty"" rapper have dropped a few details about the rumored upcoming book.",Fake
Celebrity,Vanessa Paradis Talks Split  ith Johnny Depp,"Break-ups are hard to handle, and no one knows that better than Vanessa Paradis",Legit
Politics,Federal Judge Sends Trump To The Corner,"(CNN)Two federal judges in Virginia went against common sense and in favor of the punishment of children. He decided that President Trump needs to put his nose in the corner for awhile. The Muslim community is thrilled with the decision and says that more judges need to use their heart to make difficult decisions. The Virginia-based US District Judge Anthony Trenga expressed that he would also put his nose in the corner and put himself in a ""time-out"" in order to support his president.",Fake
Politics,Tax reform the next big ticket item on Trump's legislative agenda,"The morning after President Donald Trump failed to deliver on his campaign promise to repeal and replace Obamacare, he reassured the country a new plan will be on the way.",Legit
